avg_annual_cpi,year
9.9,1913
10.0,1914
10.1,1915
10.9,1916
12.8,1917
15.1,1918
17.3,1919
20.0,1920
17.9,1921
16.8,1922
17.1,1923
17.1,1924
17.5,1925
17.7,1926
17.4,1927
17.1,1928
17.1,1929
16.7,1930
15.2,1931
13.7,1932
13.0,1933
13.4,1934
13.7,1935
13.9,1936
14.4,1937
14.1,1938
13.9,1939
14.0,1940
14.7,1941
16.3,1942
17.3,1943
17.6,1944
18.0,1945
19.5,1946
22.3,1947
24.1,1948
23.8,1949
24.1,1950
26.0,1951
26.5,1952
26.7,1953
26.9,1954
26.8,1955
27.2,1956
28.1,1957
28.9,1958
29.1,1959
29.6,1960
29.9,1961
30.2,1962
30.6,1963
31.0,1964
31.5,1965
32.4,1966
33.4,1967
34.8,1968
36.7,1969
38.8,1970
40.5,1971
41.8,1972
44.4,1973
49.3,1974
53.8,1975
56.9,1976
60.6,1977
65.2,1978
72.6,1979
82.4,1980
90.9,1981
96.5,1982
99.6,1983
103.9,1984
107.6,1985
109.6,1986
113.6,1987
118.3,1988
124.0,1989
130.7,1990
136.2,1991
140.3,1992
144.5,1993
148.2,1994
152.4,1995
156.9,1996
160.5,1997
163.0,1998
166.6,1999
172.2,2000
177.1,2001
179.9,2002
184.0,2003
188.9,2004
195.3,2005
201.6,2006
207.3,2007
215.303,2008
214.537,2009
218.056,2010
224.939,2011
229.594,2012
232.957,2013
236.736,2014
237.017,2015
240.007,2016
